epoch,train_loss,val_loss,val_accuracy,val_precision_forged,val_recall_forged,val_f1_forged,val_roc_auc
1,0.6802033183234079,0.6618010697364807,0.6333333333333333,0.6089324618736384,0.7453333333333333,0.670263788968825,0.6924515555555556
2,0.658038195337568,0.6442860651016236,0.6606666666666666,0.6337402885682575,0.7613333333333333,0.6917019987886129,0.7256844444444445
3,0.6012132019996643,0.537937530040741,0.762,0.7710344827586207,0.7453333333333333,0.7579661016949153,0.8230675555555556
4,0.4916601472241538,0.44883760237693787,0.8113333333333334,0.7915106117353309,0.8453333333333334,0.8175370728562218,0.8673057777777778
5,0.4086389832837241,0.3966374945640564,0.8326666666666667,0.8091697645600991,0.8706666666666667,0.8387925497752088,0.8902906666666667
6,0.34619379690715246,0.3697417411804199,0.8466666666666667,0.8155339805825242,0.896,0.8538754764930114,0.9037582222222221
7,0.2940721242427826,0.3480276114940643,0.86,0.8435114503816794,0.884,0.86328125,0.9160106666666668
8,0.2578969855308533,0.34499277210235596,0.8566666666666667,0.8274173806609547,0.9013333333333333,0.8627951499680919,0.9176275555555555
9,0.23279954428332192,0.3393035736083984,0.8626666666666667,0.8443037974683544,0.8893333333333333,0.8662337662337662,0.9227306666666667
10,0.21187046747548238,0.33989723443984987,0.852,0.8473684210526315,0.8586666666666667,0.8529801324503311,0.9264337777777778
11,0.19382190540858676,0.3523522455692291,0.8526666666666667,0.8494055482166446,0.8573333333333333,0.8533510285335103,0.9270160000000001
12,0.18561928982394083,0.36247061944007875,0.8466666666666667,0.843915343915344,0.8506666666666667,0.8472775564409031,0.9244826666666667
13,0.1791008081606456,0.3888877990245819,0.8453333333333334,0.841688654353562,0.8506666666666667,0.8461538461538461,0.9234106666666667
14,0.16339556462424143,0.4041943824291229,0.8453333333333334,0.8337628865979382,0.8626666666666667,0.8479685452162516,0.9242577777777778
15,0.16077475145884923,0.3784763746261597,0.84,0.839095744680851,0.8413333333333334,0.8402130492676432,0.9289226666666666
16,0.14704938847678048,0.3995276594161987,0.8413333333333334,0.8478260869565217,0.832,0.8398384925975774,0.9311644444444445
